word	segments
amewo	ame|wo
devia	devi|a
deviwo	devi|wo
nyɔnuwo	nyɔnu|wo
ŋutsuwo	ŋutsu|wo
dɔwɔla	dɔ|wɔ|la
dɔwɔlawo	dɔ|wɔ|la|wo
nufiala	nu|fia|la
nufialawo	nu|fia|la|wo
xɔsetɔ	xɔse|tɔ
xɔsetɔwo	xɔse|tɔ|wo
hadzila	ha|dzi|la
hadzilawo	ha|dzi|la|wo
agbalẽfiala	agbalẽ|fia|la
agbalẽfialawo	agbalẽ|fia|la|wo
amegbetɔ	ame|gbe|tɔ
amegbetɔwo	ame|gbe|tɔ|wo
dukɔ	du|kɔ
dukɔwo	du|kɔ|wo
aƒetɔ	aƒe|tɔ
aƒetɔwo	aƒe|tɔ|wo
subɔla	subɔ|la
subɔlawo	subɔ|la|wo
kplɔla	kplɔ|la
kplɔlawo	kplɔ|la|wo
dzidzɔ	dzi|dzɔ
vɔvɔ	vɔ|vɔ
tɔtrɔ	tɔ|trɔ
hehe	he|he
wɔwɔ	wɔ|wɔ
