tokenizer,word,gold_segments,predicted_tokens,gold_boundaries,predicted_boundaries,precision,recall,f1,true_positive,false_positive,false_negative
custom_bpe,Dagbani,Dagban|li,[CLS]|Da|gbani|[SEP],6,"5,7,12",0.0,0.0,0.0,0,3,1
custom_bpe,Dagbamba,Dagban|ba,[CLS]|Da|gba|mba|[SEP],6,"5,7,10,13",0.0,0.0,0.0,0,4,1
custom_bpe,Dagbana,Dagban|a,[CLS]|Da|gbana|[SEP],6,"5,7,12",0.0,0.0,0.0,0,3,1
custom_bpe,bihi,bi|hi,[CLS]|bihi|[SEP],2,"5,9",0.0,0.0,0.0,0,2,1
custom_bpe,bila,bi|la,[CLS]|bila|[SEP],2,"5,9",0.0,0.0,0.0,0,2,1
custom_bpe,bipieligu,bi|pieli|gu,[CLS]|bi|pie|ligu|[SEP],"2,7","5,7,10,14",0.25,0.5,0.3333333333333333,1,3,1
custom_bpe,binyɛla,bi|nyɛla,[CLS]|bi|nyɛla|[SEP],2,"5,7,12",0.0,0.0,0.0,0,3,1
custom_bpe,ninsala,nin|sala,[CLS]|ninsala|[SEP],3,"5,12",0.0,0.0,0.0,0,2,1
custom_bpe,ninsalba,nin|sal|ba,[CLS]|ninsal|ba|[SEP],"3,6","5,11,13",0.0,0.0,0.0,0,3,2
custom_bpe,ninsaligu,nin|sal|igu,[CLS]|ninsa|ligu|[SEP],"3,6","5,10,14",0.0,0.0,0.0,0,3,2
custom_bpe,kpema,kpem|a,[CLS]|kpe|ma|[SEP],4,"5,8,10",0.0,0.0,0.0,0,3,1
custom_bpe,kpemsi,kpem|si,[CLS]|kpem|si|[SEP],4,"5,9,11",0.0,0.0,0.0,0,3,1
custom_bpe,doɣri,doɣ|ri,[CLS]|do|ɣ|ri|[SEP],3,"5,7,8,10",0.0,0.0,0.0,0,4,1
custom_bpe,doɣa,doɣ|a,[CLS]|do|ɣa|[SEP],3,"5,7,9",0.0,0.0,0.0,0,3,1
custom_bpe,kugri,kug|ri,[CLS]|ku|gri|[SEP],3,"5,7,10",0.0,0.0,0.0,0,3,1
custom_bpe,kuga,kug|a,[CLS]|ku|ga|[SEP],3,"5,7,9",0.0,0.0,0.0,0,3,1
