tokenizer,word,gold_segments,predicted_tokens,gold_boundaries,predicted_boundaries,precision,recall,f1,true_positive,false_positive,false_negative
custom_bpe,sukuufoɔ,sukuu|foɔ,[CLS]|su|kuu|foɔ|[SEP],5,"2,5",0.5,1.0,0.6666666666666666,1,1,0
custom_bpe,adwumayɛfoɔ,adwuma|yɛ|foɔ,[CLS]|adwumayɛfoɔ|[SEP],"6,8",,0.0,0.0,0.0,0,0,2
custom_bpe,ɔkyerɛkyerɛni,ɔ|kyerɛ|kyerɛ|ni,[CLS]|ɔkyerɛkyerɛ|ni|[SEP],"1,6,11",11,1.0,0.3333333333333333,0.5,1,0,2
custom_bpe,akyerɛkyerɛfoɔ,a|kyerɛ|kyerɛ|foɔ,[CLS]|akyerɛkyerɛfoɔ|[SEP],"1,6,11",,0.0,0.0,0.0,0,0,3
custom_bpe,osikani,o|sika|ni,[CLS]|o|sikani|[SEP],"1,5",1,1.0,0.5,0.6666666666666666,1,0,1
custom_bpe,asikafoɔ,a|sika|foɔ,[CLS]|asi|kafoɔ|[SEP],"1,5",3,0.0,0.0,0.0,0,1,2
custom_bpe,ɔmanfoɔ,ɔman|foɔ,[CLS]|ɔmanfoɔ|[SEP],4,,0.0,0.0,0.0,0,0,1
custom_bpe,abusuafoɔ,abusua|foɔ,[CLS]|abusuafoɔ|[SEP],6,,0.0,0.0,0.0,0,0,1
custom_bpe,kuromfoɔ,kurom|foɔ,[CLS]|kuro|mfoɔ|[SEP],5,4,0.0,0.0,0.0,0,1,1
custom_bpe,nkurofoɔ,n|kuro|foɔ,[CLS]|nkuro|foɔ|[SEP],"1,5",5,1.0,0.5,0.6666666666666666,1,0,1
custom_bpe,akwadaa,a|kwadaa,[CLS]|akwa|daa|[SEP],1,4,0.0,0.0,0.0,0,1,1
custom_bpe,mmofra,m|mofra,[CLS]|mmo|fra|[SEP],1,3,0.0,0.0,0.0,0,1,1
custom_bpe,adwuma,adwuma,[CLS]|adwuma|[SEP],,,1.0,1.0,1.0,0,0,0
custom_bpe,odwumayɛni,o|dwuma|yɛ|ni,[CLS]|o|dwuma|yɛ|ni|[SEP],"1,6,8","1,6,8",1.0,1.0,1.0,3,0,0
custom_bpe,nnwumayɛfoɔ,n|dwuma|yɛ|foɔ,[CLS]|nnwuma|yɛfoɔ|[SEP],"1,6,8",6,1.0,0.3333333333333333,0.5,1,0,2
custom_bpe,ɔbarima,ɔ|barima,[CLS]|ɔbarima|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_bpe,mmarima,m|barima,[CLS]|mmarima|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_bpe,ɔbaa,ɔ|baa,[CLS]|ɔbaa|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_bpe,mmaa,m|baa,[CLS]|mmaa|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_bpe,akokɔ,a|kokɔ,[CLS]|akokɔ|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_bpe,nkokoɔ,n|kokoɔ,[CLS]|nkokoɔ|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_bpe,ɔhene,ɔ|hene,[CLS]|ɔhene|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_bpe,ahene,a|hene,[CLS]|ahene|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_bpe,ɔkɔmfoɔ,ɔ|kɔm|foɔ,[CLS]|ɔkɔ|mfoɔ|[SEP],"1,4",3,0.0,0.0,0.0,0,1,2
custom_bpe,akomfoɔ,a|kɔm|foɔ,[CLS]|ako|mfoɔ|[SEP],"1,4",3,0.0,0.0,0.0,0,1,2
custom_bpe,ɔsɔfoɔ,ɔ|sɔ|foɔ,[CLS]|ɔsɔfoɔ|[SEP],"1,3",,0.0,0.0,0.0,0,0,2
custom_bpe,asɔfoɔ,a|sɔ|foɔ,[CLS]|asɔfoɔ|[SEP],"1,3",,0.0,0.0,0.0,0,0,2
custom_bpe,ɔpanyin,ɔ|panyin,[CLS]|ɔpa|nyin|[SEP],1,3,0.0,0.0,0.0,0,1,1
custom_bpe,mpanyimfoɔ,m|panyin|foɔ,[CLS]|mpa|nyi|mfoɔ|[SEP],"1,7","3,6",0.0,0.0,0.0,0,2,2
custom_bpe,ayɔnkofoɔ,a|yɔnko|foɔ,[CLS]|ayɔnko|foɔ|[SEP],"1,6",6,1.0,0.5,0.6666666666666666,1,0,1
custom_unigram,sukuufoɔ,sukuu|foɔ,[CLS]|s|u|ku|u|foɔ|[SEP],5,"1,2,4,5",0.25,1.0,0.4,1,3,0
custom_unigram,adwumayɛfoɔ,adwuma|yɛ|foɔ,[CLS]|adwumayɛ|foɔ|[SEP],"6,8",8,1.0,0.5,0.6666666666666666,1,0,1
custom_unigram,ɔkyerɛkyerɛni,ɔ|kyerɛ|kyerɛ|ni,[CLS]|ɔkyerɛkyerɛ|n|i|[SEP],"1,6,11","11,12",0.5,0.3333333333333333,0.4,1,1,2
custom_unigram,akyerɛkyerɛfoɔ,a|kyerɛ|kyerɛ|foɔ,[CLS]|akyerɛkyerɛ|foɔ|[SEP],"1,6,11",11,1.0,0.3333333333333333,0.5,1,0,2
custom_unigram,osikani,o|sika|ni,[CLS]|o|sika|n|i|[SEP],"1,5","1,5,6",0.6666666666666666,1.0,0.8,2,1,0
custom_unigram,asikafoɔ,a|sika|foɔ,[CLS]|a|sika|foɔ|[SEP],"1,5","1,5",1.0,1.0,1.0,2,0,0
custom_unigram,ɔmanfoɔ,ɔman|foɔ,[CLS]|ɔman|foɔ|[SEP],4,4,1.0,1.0,1.0,1,0,0
custom_unigram,abusuafoɔ,abusua|foɔ,[CLS]|abusua|foɔ|[SEP],6,6,1.0,1.0,1.0,1,0,0
custom_unigram,kuromfoɔ,kurom|foɔ,[CLS]|kurom|foɔ|[SEP],5,5,1.0,1.0,1.0,1,0,0
custom_unigram,nkurofoɔ,n|kuro|foɔ,[CLS]|nkuro|foɔ|[SEP],"1,5",5,1.0,0.5,0.6666666666666666,1,0,1
custom_unigram,akwadaa,a|kwadaa,[CLS]|a|kwa|daa|[SEP],1,"1,4",0.5,1.0,0.6666666666666666,1,1,0
custom_unigram,mmofra,m|mofra,[CLS]|m|m|o|fra|[SEP],1,"1,2,3",0.3333333333333333,1.0,0.5,1,2,0
custom_unigram,adwuma,adwuma,[CLS]|adwuma|[SEP],,,1.0,1.0,1.0,0,0,0
custom_unigram,odwumayɛni,o|dwuma|yɛ|ni,[CLS]|odwumayɛ|n|i|[SEP],"1,6,8","8,9",0.5,0.3333333333333333,0.4,1,1,2
custom_unigram,nnwumayɛfoɔ,n|dwuma|yɛ|foɔ,[CLS]|nnwuma|yɛ|foɔ|[SEP],"1,6,8","6,8",1.0,0.6666666666666666,0.8,2,0,1
custom_unigram,ɔbarima,ɔ|barima,[CLS]|ɔ|barima|[SEP],1,1,1.0,1.0,1.0,1,0,0
custom_unigram,mmarima,m|barima,[CLS]|mmarima|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_unigram,ɔbaa,ɔ|baa,[CLS]|ɔbaa|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_unigram,mmaa,m|baa,[CLS]|mma|a|[SEP],1,3,0.0,0.0,0.0,0,1,1
custom_unigram,akokɔ,a|kokɔ,[CLS]|akokɔ|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_unigram,nkokoɔ,n|kokoɔ,[CLS]|n|kokoɔ|[SEP],1,1,1.0,1.0,1.0,1,0,0
custom_unigram,ɔhene,ɔ|hene,[CLS]|ɔhene|[SEP],1,,0.0,0.0,0.0,0,0,1
custom_unigram,ahene,a|hene,[CLS]|a|hene|[SEP],1,1,1.0,1.0,1.0,1,0,0
