word	segments
sukuufoɔ	sukuu|foɔ
adwumayɛfoɔ	adwuma|yɛ|foɔ
ɔkyerɛkyerɛni	ɔ|kyerɛ|kyerɛ|ni
akyerɛkyerɛfoɔ	a|kyerɛ|kyerɛ|foɔ
osikani	o|sika|ni
asikafoɔ	a|sika|foɔ
ɔmanfoɔ	ɔman|foɔ
abusuafoɔ	abusua|foɔ
kuromfoɔ	kurom|foɔ
nkurofoɔ	n|kuro|foɔ
akwadaa	a|kwadaa
mmofra	m|mofra
adwuma	adwuma
odwumayɛni	o|dwuma|yɛ|ni
nnwumayɛfoɔ	n|dwuma|yɛ|foɔ
ɔbarima	ɔ|barima
mmarima	m|barima
ɔbaa	ɔ|baa
mmaa	m|baa
akokɔ	a|kokɔ
nkokoɔ	n|kokoɔ
ɔhene	ɔ|hene
ahene	a|hene
ɔkɔmfoɔ	ɔ|kɔm|foɔ
akomfoɔ	a|kɔm|foɔ
ɔsɔfoɔ	ɔ|sɔ|foɔ
asɔfoɔ	a|sɔ|foɔ
ɔpanyin	ɔ|panyin
mpanyimfoɔ	m|panyin|foɔ
ayɔnkofoɔ	a|yɔnko|foɔ
