language,tokenizer,num_examples,fertility,char_per_token,unk_rate,vocab_coverage,mean_token_chars,median_token_chars,p95_token_chars
all,custom_bpe,24692,1.303105518257904,3.741372809689746,0.0,0.35830896340251556,3.3296916768536504,3.0,7.0
all,custom_unigram,24692,1.6973262995761724,2.8724020569198685,0.0,0.26217313534539055,2.556337929418081,2.0,6.0
all,bert-base-multilingual-cased,24692,2.1936872992854606,2.2224697001048552,0.015659305103805088,0.026063995911530052,1.8016787680251343,2.0,4.0
all,xlm-roberta-base,24692,2.281927743615811,2.136528453982291,0.0,0.028221799494619688,1.7931184147276753,2.0,3.0
all,google/mt5-small,24692,2.2975360882404443,2.122013917048236,0.0,0.0417080718889299,1.9073328214666305,2.0,4.0
dagbani,custom_bpe,6054,1.2527555034988138,3.7923620933521924,0.0,0.43506397999705837,3.3130103325102485,3.0,7.0
dagbani,custom_unigram,6054,1.5984743370273597,2.9721481125198217,0.0,0.2919546992204736,2.5964707915918264,2.0,6.0
dagbani,bert-base-multilingual-cased,6054,2.0850166681683033,2.2785920881298902,0.0012301079729433863,0.050448595381673775,1.8161982461598738,2.0,4.0
dagbani,xlm-roberta-base,6054,2.0663963720455296,2.2991244796874635,0.0,0.06118546845124283,1.8646109071980173,2.0,4.0
dagbani,google/mt5-small,6054,2.1177223173258852,2.243402000743117,0.0,0.07927636417120165,1.976009729004595,2.0,4.0
ewe,custom_bpe,9417,1.3162685991551342,3.6756984191877895,0.0,0.3512807109252483,3.2736372308530934,3.0,7.0
ewe,custom_unigram,9417,1.618711714216526,2.9889240725503723,0.0,0.29266858337689494,2.661984746359045,2.0,6.0
ewe,bert-base-multilingual-cased,9417,2.1519188857099296,2.248321923874423,0.03721671720171298,0.03450078410872975,1.8449313869525805,2.0,4.0
ewe,xlm-roberta-base,9417,2.3487986223844586,2.059864291060164,0.0,0.03378201777313121,1.7530648446491381,2.0,3.0
ewe,google/mt5-small,9417,2.362529933540813,2.047892109409107,0.0,0.048614741244119186,1.8336549121159038,2.0,4.0
twi,custom_bpe,9221,1.3305154680675482,3.7740567893017065,0.0,0.3797847704672388,3.4050738230666826,3.0,7.0
twi,custom_unigram,9221,1.8683503411629732,2.6876334833463953,0.0,0.23750170276529084,2.42486823358946,2.0,6.0
twi,bert-base-multilingual-cased,9221,2.331592295151259,2.1536530833344125,0.00414362852370285,0.029628116060482223,1.746008520336152,2.0,3.0
twi,xlm-roberta-base,9221,2.387451442143188,2.103264111216259,0.0,0.027789129546383327,1.7834749409661685,2.0,3.0
twi,google/mt5-small,9221,2.375244047259626,2.114073684901819,0.0,0.03950415474730963,1.9383067823684323,2.0,4.0
